Year,"WHEAT, WINTER - ACRES HARVESTED","COTTON, UPLAND - ACRES HARVESTED","SORGHUM, GRAIN - ACRES HARVESTED","CORN, GRAIN - ACRES HARVESTED","WHEAT, WINTER, IRRIGATED - ACRES HARVESTED","WHEAT, WINTER, NON-IRRIGATED - ACRES HARVESTED","COTTON, UPLAND, IRRIGATED - ACRES HARVESTED","COTTON, UPLAND, NON-IRRIGATED - ACRES HARVESTED","SORGHUM, GRAIN, NON-IRRIGATED - ACRES HARVESTED",WHEAT - ACRES HARVESTED,"WHEAT, IRRIGATED - ACRES HARVESTED","WHEAT, NON-IRRIGATED - ACRES HARVESTED","PEANUTS, IRRIGATED - ACRES HARVESTED"
1960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,50900.0,288300.0,80800.0,4400.0,2600.0,46800.0,86000.0,157500.0,79100.0,50900.0,2600.0,46800.0,7000.0
2001,284200.0,398200.0,124300.0,3000.0,8300.0,128200.0,85400.0,312400.0,60000.0,284200.0,8300.0,128200.0,7400.0
2002,303900.0,515900.0,121900.0,2000.0,9400.0,71900.0,80200.0,384000.0,51400.0,303900.0,9400.0,71900.0,6800.0
2003,303800.0,671400.0,85000.0,2900.0,11300.0,84600.0,83600.0,530600.0,36100.0,303800.0,11300.0,84600.0,6500.0
2004,273000.0,658300.0,103800.0,3200.0,11400.0,36400.0,86800.0,570700.0,56700.0,273000.0,11400.0,36400.0,5400.0
2005,223000.0,749800.0,87500.0,3900.0,7900.0,89600.0,94500.0,584500.0,41100.0,223000.0,7900.0,89600.0,6200.0
2006,102000.0,434900.0,51700.0,2800.0,9800.0,37100.0,92100.0,332700.0,20000.0,102000.0,9800.0,37100.0,0.0
2007,260200.0,692400.0,110700.0,3900.0,10200.0,86400.0,85400.0,544500.0,75000.0,260200.0,10200.0,86400.0,0.0
2008,224900.0,326300.0,178300.0,0.0,10400.0,67200.0,58800.0,135700.0,0.0,0.0,0.0,0.0,0.0
2009,97000.0,587700.0,79900.0,1900.0,13000.0,37700.0,71700.0,392600.0,29800.0,0.0,0.0,0.0,0.0
2010,342300.0,803200.0,42000.0,2200.0,11700.0,201000.0,109000.0,547800.0,3700.0,0.0,0.0,0.0,0.0
2011,73400.0,99300.0,0.0,0.0,10400.0,36100.0,23300.0,4400.0,0.0,0.0,0.0,0.0,0.0
2012,218600.0,374200.0,36800.0,2570.0,4870.0,120200.0,79400.0,213200.0,28300.0,0.0,0.0,0.0,0.0
2013,251300.0,435800.0,111200.0,3600.0,13500.0,103200.0,52700.0,203900.0,32700.0,0.0,0.0,0.0,0.0
2014,216770.0,592700.0,25800.0,0.0,10520.0,141900.0,60200.0,300300.0,15900.0,0.0,0.0,0.0,0.0
2015,326170.0,834300.0,40200.0,0.0,14170.0,228000.0,68730.0,584200.0,17500.0,0.0,0.0,0.0,0.0
2016,244850.0,773440.0,46300.0,2900.0,9500.0,184600.0,74450.0,505700.0,24700.0,0.0,0.0,0.0,0.0
2017,180400.0,699500.0,43350.0,11160.0,5300.0,71500.0,83400.0,379300.0,22000.0,0.0,0.0,0.0,0.0
2018,172400.0,240200.0,19850.0,4370.0,6800.0,61700.0,39500.0,147600.0,12300.0,0.0,0.0,0.0,0.0
2019,164300.0,728700.0,23800.0,10800.0,6000.0,62000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,165730.0,223920.0,36420.0,4090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,91360.0,868310.0,31730.0,6980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
